wj|(Admirativpartikel)|Wb I S 270|(Admirativpartikel)
jAs|[Bezeichnung eines Hathor-Priesters]|Wb I S 33|[Bezeichnung eines Hathor-Priesters]
jAs|(Verbum als Beischrift zu Opfertr&auml;gern)|Wb I S 33|(Verbum als Beischrift zu Opfertraegern)
jAsw|[Himmel]|Wb I S 33|[Himmel]
jAS|(= {aS}) rufen|Wb I S 33|(= {aS}) rufen
jAS|[Bezeichnung des Seth]|Wb I S 33|[Bezeichnung des Seth]
jAq|kriechen|Meeks: AL 780165|kriechen
jAq|beherrschen|Wb I S 33|beherrschen
jAq|emporsteigen|Wb I S 33|emporsteigen
jAqt|Lauch|Wb I S 34|Lauch
jAk|alt|Wb I S 34|alt
jAkb|trauern|Wb I S 34|trauern
jAkb|Trauer|Wb I S 34|Trauer
jAkbj|Klagender (Bezeichnung von G&ouml;ttern)|Wb I S 34|Klagender (Bezeichnung von Goettern)
jAkbj|[Teil der Unterwelt]|Wb I S 34|[Teil der Unterwelt]
jAkbjt|Klageweib|Wb I S 34|Klageweib
jAgwt|[offizinell Verwendetes]|Wb I S 34|[offizinell Verwendetes]
jAT|verst&uuml;mmelt werden|Wb I S 34|verstuemmelt werden
jATt|Verletzung|Wb I S 35|Verletzung
jATjw|Verst&uuml;mmelung|Wb I S 35|Verstuemmelung
jATw|Richtst&auml;tte|Wb I S 35|Richtstaette
jAd|[Bezeichnung eines Sterns]|Wb I S 35|[Bezeichnung eines Sterns]
jAd|Band (am T&uuml;rverschlu&szlig;)|Wb I S 35|Band (am Tuerverschluss)
jAd|beschreiten|Wb I S 35|beschreiten
jAd|elend sein, qu&auml;len|Wb I S 35|elend sein, quaelen
jAd|Elender, Armer, Frevler|Wb I S 35|Elender, Armer, Frevler
jAdt|Mangel, Not|Wb I S 35|Mangel, Not
jAdt|Viehweide|Wb I S 35|Viehweide
jAdt|Tau|Wb I S 36|Tau
jAdt|Netz f&uuml;r Vogelfang, Kleidung|Wb I S 36|Netz fuer Vogelfang, Kleidung
jAdt-rnpt|Notjahr|Wb II S 431|Notjahr
jAdj|[Ortsbezeichnung]|Wb I S 35|[Ortsbezeichnung]
jAdw|Pest|Meeks: AL 780171|Pest
jAdw|[St&auml;tte im Totenreich]|Wb I S 35|[Staette im Totenreich]
jAdmt|[Pflanze(?)]|Meeks: AL 780175|[Pflanze(?)]
jj|(Interjektion der Anrede)|Wb I S 36|(Interjektion der Anrede)
jj|(Interjektion)|Wb I S 36|(Interjektion)
jj|Spruch|Wb I S 36|Spruch
jj|zustimmen|Wb I S 36|zustimmen
jj|(Verbum vom Verletzen des Auges)|Wb I S 36|(Verbum vom Verletzen des Auges)
jj|kommen|Wb I S 37|kommen
jj|[Beiname des Horus]|Wb I S 38|[Beiname des Horus]
jj|[Fisch]|Wb I S 38|[Fisch]
jjt|Heiligtum in Letopolis|Wb I S 38|Heiligtum in Letopolis
jjt|Unheil|Wb I S 38|Unheil
jjt|[Messer]|Wb I S 38|[Messer]
jjwj|willkommen!|Wb I S 38|willkommen!
jj-msj|[Bezeichnung der Stiefmutter]|Wb I S 37|[Bezeichnung der Stiefmutter]
jj-n-gs=f|gehen, wohin man will|Wb V S 192|gehen, wohin man will
jj-r-thj|sich frevelnd nahen|Wb V S 319|sich frevelnd nahen
jj-Hr-mw|jemandem ergeben sein|Wb II S 52|jemandem ergeben sein
jjr|[Acker]|Wb I S 38|[Acker]
jjr|Hirsch, Widder|Wb I S 38|Hirsch, Widder
jjH|[Sumpfpflanze]|Wb I S 39|[Sumpfpflanze]
jjtj-aDtj|Willkommen!|Wb I S 238|Willkommen!
jjjtjjw|[Tr&auml;ger des Naos(?)]|Meeks: AL 780179|[Traeger des Naos(?)]
jat|Perlennetz, Perlenreihe|RdE 30 (1978) S 11; Meeks: AL 770160; Meeks: AL 780183|Perlennetz, Perlenreihe
ja|Waschnapf|Wb I S 39|Waschnapf
ja|Grab|Wb I S 40|Grab
ja|(= {jar}) aufsteigen|Wb I S 40|(= {jar}) aufsteigen
ja-Hr|[Zeremonie]|Wb I S 39|[Zeremonie]
jaA|Schurz|Wb I S 40|Schurz
jaAt|[Toten bedrohendes Wesen]|Wb I S 40|[Toten bedrohendes Wesen]
jajt|Reinigerin(?)|Meeks: AL 770159|Reinigerin(?)
jajj|der sich freut|Meeks: AL 770161|der sich freut
jaj|waschen|Wb I S 39|waschen
jaj|W&auml;scher|Wb I S 39|Waescher
jajt|[offizinell Verwendetes]|Wb I S 40|[offizinell Verwendetes]
jaj-jb|erfreuen|Wb I S 39|erfreuen
jaj-nb|Goldw&auml;scher, Gold waschen|Wb I S 39|Goldwaescher, Gold waschen
jaj-Hr|scharfsichtig|Wb I S 39|scharfsichtig
jaa|[Frucht oder Getreide]|Meeks: AL 770162|[Frucht oder Getreide]
jaa|[Substantiv:] Fr&uuml;hst&uuml;ck(?)]|Meeks: AL 780186|[Substantiv:] Fruehstueck(?)]
jaaw|mit Gips verschmieren|Wb I S 40|mit Gips verschmieren
jaw-rA|Fr&uuml;hst&uuml;ck|Wb I S 39|Fruehstueck
jabt|Opfergaben(?)|Meeks: AL 780189|Opfergaben(?)
jab|harken (Getreide)|Wb I S 40|harken (Getreide)
jab|Napf|Wb I S 40|Napf
jab|vereinigen|Wb I S 40|vereinigen
jab-jxt|opfern|Wb I S 40|opfern
jabw|Not(?), Trauer(?)|Meeks: AL 780190|Not(?), Trauer(?)
jaf|auspressen|Wb I S 41|auspressen
jan|[Ger&auml;t, Beh&auml;lter f&uuml;r Myrrhen]|Wb I S 41|[Geraet, Behaelter fuer Myrrhen]
jant|weiblicher Pavian|Wb I S 41|weiblicher Pavian
janj|Pavian|Wb I S 41|Pavian
janw|Kummer|Wb I S 41|Kummer
jar|Edelstein im Rohzustand|Meeks: AL 770169|Edelstein im Rohzustand
jar|aufsteigen|Wb I S 41|aufsteigen
jart|Schlange|Wb I S 42|Schlange
jartj|[Tr&auml;ger der K&ouml;nigsschlangen]|Wb I S 42|[Traeger der Koenigsschlangen]
jarjt|G&ouml;tterwohnung|Wb I S 42|Goetterwohnung
jaH|Mond|Wb I S 42|Mond
jaH|[18 Monatstag]|Wb I S 42|[18 Monatstag]
jaHt|[Geb&auml;ude]|Wb I S 42|[Gebaeude]
jaH-wr|Vollmond|Wb I S 42|Vollmond
jw|&lt;&lt;im Mittel&auml;gyptischen&gt;&gt;|Junge, F: Der Gebrauch von {jw} im mittel&auml;gyptischen Satz In: Fs Edel 1979, S 263 - 271|<<im Mittelaegyptischen>>
jw|sein|Weill, M R: In: BIFAO 30 (1931) S 593ff|sein
jwt|[Schiffsteil]|Meeks: AL 780203|[Schiffsteil]
jw|sein (Verbum)|Wb I S 42|sein (Verbum)
jw|(= {wj}) ich (abh pron 1 sg)|Wb I S 43|(= {wj}) ich (abh pron 1 sg)
jw|Buckliger|Wb I S 43|Buckliger
jw|[F&auml;hrmann]|Wb I S 43|[Faehrmann]
jw|(= {jAwtj}) Harpunierer|Wb I S 43|(= {jAwtj}) Harpunierer
jw|kommen|Wb I S 44|kommen
jw|Insel|Wb I S 47|Insel
jw|Vieh|Wb I S 47|Vieh
jw|abtrennen|Wb I S 48|abtrennen
jw|[Hund]|Wb I S 48|[Hund]
jw|[Bezeichnung des Thot]|Wb I S 48|[Bezeichnung des Thot]
jw|B&ouml;ses|Wb I S 48|Boeses
jw|klagen|Wb I S 48|klagen
jwt|[Ger&auml;t]|Wb I S 43|[Geraet]
jwt|die, welche nicht (neg Rel fem sg)|Wb I S 45|die, welche nicht (neg Rel fem sg)
jwtj|der, welcher nicht (neg rel masc sg)|Wb I S 46|der, welcher nicht (neg rel masc sg)
jwtj|[Bezeichnung des Seth]|Wb I S 48|[Bezeichnung des Seth]
jw + r|kommen f&uuml;r|In: Fs Griffith S 57f|kommen fuer
jwtj=f|Besitzloser|Wb I S 46|Besitzloser
jw=f-m-nrj|[Bezeichnung f&uuml;r die Saat]|Wb II S 279|[Bezeichnung fuer die Saat]
jw-m-jtrw|Gebelen|Wb I S 47|Gebelen
jwtj-n=f|besitzlos|Wb I S 46|besitzlos
jw-nsrsr|[Nekropole von Hermopolis]|Wb II S 336|[Nekropole von Hermopolis]
jw-nSn|[Edfu]|Wb II S 341|[Edfu]
jw-r|bestimmt sein zu etwas|Wb I S 42|bestimmt sein zu etwas
jwtj-HAtj=f|mutlos|Wb III S 27|mutlos
jw-Xr|haben|Wb I S 43|haben
jwtj-skw=f|unzerst&ouml;rbar|Wb IV S 313|unzerstoerbar
jwA|Rind|Wb I S 49|Rind
jwA|sich freuen|Wb I S 49|sich freuen
jwA|fortnehmen, rauben|Wb I S 49|fortnehmen, rauben
jwA|[Fisch]|Wb I S 49|[Fisch]
jwAt|Kuh|Wb I S 49|Kuh
jwAt|Rindvieh (Koll)?|Wb I S 49|Rindvieh (Koll)?
jwAt|[Wei&szlig;brot]|Wb I S 49|[Weissbrot]
jwAjt|Arbeiterin|Wb I S 49|Arbeiterin
jwAjt|Kehle|Wb I S 49|Kehle
jwAw|Wegnahme, Abtransport|Meeks: AL 770186; Meeks: AL 780213|Wegnahme, Abtransport
jwj|schifflos|Wb I S 47|schifflos
jwj|bew&auml;ssern|Wb I S 49|bewaessern
jwj|Weihrauch|Wb I S 49|Weihrauch
jwj|[Strauch]|Wb I S 49|[Strauch]
jwj|handhaben (ein Ger&auml;t im Schiff)|Wb I S 49|handhaben (ein Geraet im Schiff)
jwjt|B&ouml;ses|Wb I S 48|Boeses
jwjt|Haus|Wb I S 49|Haus
jwjj|welcher nicht ist|Wb I S 45|welcher nicht ist
jwjw|[Hund]|Wb I S 50|[Hund]
jwjw|klagen|Wb I S 50|klagen
jwa|[Teil des Beines]|Wb I S 50|[Teil des Beines]
jwa|[Bezeichnung vierf&uuml;&szlig;iger Tiere]|Wb I S 50|[Bezeichnung vierfuessiger Tiere]
jwa|erben|Wb I S 50|erben
jwa|beschenken|Wb I S 51|beschenken
jwa|Belohnung|Wb I S 51|Belohnung
jwat|Erbin (von Hatschepsut)|Wb I S 50|Erbin (von Hatschepsut)
jwat|Erbe, Erbschaft|Wb I S 51|Erbe, Erbschaft
jwawt|die Erben|Meeks: AL 790130|die Erben
jwajt|[Truppe]|Wb I S 51|[Truppe]
jwajt|Ansiedlung|Wb I S 51|Ansiedlung
jwaw|Erbe|Wb I S 50|Erbe
jwaw|Ring als Auszeichnung|Wb I S 51|Ring als Auszeichnung
jww|wehe! Wehgeschrei|Wb I S 48|wehe! Wehgeschrei
jww|[F&auml;hrmann am Himmel]|Wb I S 48|[Faehrmann am Himmel]
jwbt|[Teil des Brotes]|Wb I S 51|[Teil des Brotes]
jwf|[bezeichnet den Affen, als der sich Atum inkarniert]|Meeks: AL 770195; Meeks: AL 780222; Meeks: AL 790135|[bezeichnet den Affen, als der sich Atum inkarniert]
jwf|Fleisch|Wb I S 51|Fleisch
jwf-dr|eingep&ouml;keltes Fleisch|Wb V S 475|eingepoekeltes Fleisch
jwm|[Pflanze]|Wb I S 52|[Pflanze]
jwms|Unwahrheit|Wb I S 52|Unwahrheit
jwn|in Prozession tragen|Meeks: AL 780224|in Prozession tragen
jwn|Farbe|Wb I S 52|Farbe
jwn|Nest|Wb I S 53|Nest
jwn|vereinigen|Wb I S 53|vereinigen
jwn|Wind|Wb I S 53|Wind
jwn|Pfeiler|Wb I S 53|Pfeiler
jwn|[Beiname des Osiris]|Wb I S 53|[Beiname des Osiris]
jwn|Mauerbrecher|Wb I S 54|Mauerbrecher
jwn|Leichenhaufen|Wb I S 54|Leichenhaufen
jwn|Heliopolis|Wb I S 54|Heliopolis
jwnt|Dendera|Wb I S 54|Dendera
jwnt|[Bogen]|Wb I S 55|[Bogen]
jwnt|[Substantiv]|Wb I S 55|[Substantiv]
jwntj|Troglodyten|Wb I S 55|Troglodyten
jwntj|[Musikantin im Tempel]|Wb I S 55|[Musikantin im Tempel]
jwntt|[G&ouml;ttin von Dendera]|Wb I S 54|[Goettin von Dendera]
jwn-n-pt|[Blume]|Wb I S 52|[Blume]
jwn-Haa|[Bezeichnung des Mondes]|Wb I S 53|[Bezeichnung des Mondes]
jwn-Sma|Hermonthis|Wb I S 54|Hermonthis
jwn-grb|[kanopische Nilm&uuml;ndung]|Wb V S 181|[kanopische Nilmuendung]
jwnj|[Gew&auml;sser]|Wb I S 53|[Gewaesser]
jwnj|[Beiname des Amun]|Wb I S 53|[Beiname des Amun]
jwnj|[Bezeichnung des als Statue Dargestellten]|Wb I S 54|[Bezeichnung des als Statue Dargestellten]
jwnj|Hermonthis|Wb I S 54|Hermonthis
jwnjt|S&auml;ulensaal|Wb I S 54|Saeulensaal
jwnjt|[G&ouml;ttin von Dendera]|Wb I S 54|[Goettin von Dendera]
jwnjt|Letopolis|Wb I S 54|Letopolis
jwnjt|[G&ouml;ttin von Hermonthis]|Wb I S 54|[Goettin von Hermonthis]
jwnw|[Beiname des Sonnengottes]|Wb I S 52|[Beiname des Sonnengottes]
jwnw|Heliopolis|Wb I S 54|Heliopolis
jwnw|[Stab]|Wb I S 55|[Stab]
jwnw pr|aufrechte S&auml;ule|RdE 29 (1977) S 6|aufrechte Saeule
jwnw-Smaw|Hermonthis|Wb IV S 473|Hermonthis
jwnwj|Heliopolitaner|Wb I S 54|Heliopolitaner
jwnwj|[Beiname des Atum]|Wb I S 54|[Beiname des Atum]
jwnn|Wohnung eines Gottes|Wb I S 55|Wohnung eines Gottes
jwns|L&uuml;ge|Wb I S 52|Luege
jwr|empfangen (sexuell)|Wb I S 56|empfangen (sexuell)
jwr|Schwangerschaft|Wb I S 56|Schwangerschaft
jwr|[Fest]|Wb I S 56|[Fest]
jwr|[Fleischspeise]|Wb I S 56|[Fleischspeise]
jwrt|Schwangere|Wb I S 56|Schwangere
jwrjt|Bohne|Wb I S 56|Bohne
jwh|tragen, beladen|Wb I S 56|tragen, beladen
jwH|benetzen, befruchten|Wb I S 57|benetzen, befruchten
jwH|rauben|Wb I S 57|rauben
jwH|B&ouml;ses|Wb I S 57|Boeses
jwH|weinen, klagen|Wb I S 57|weinen, klagen
jwHjt|[Bezeichnung der Isis als Klagefrau]|Wb I S 57|[Bezeichnung der Isis als Klagefrau]
jwHw|&Uuml;berschwemmung|Wb I S 57|Ueberschwemmung
jwHw|[Bezeichnung eines Zwerges]|Wb I S 57|[Bezeichnung eines Zwerges]
jwHw|[offizinell Verwendetes]|Wb I S 57|[offizinell Verwendetes]
jws-aAs|[G&ouml;ttin]|Wb I S 45|[Goettin]
jwsAw|Onanierer (von Atum)|Wb I S 57|Onanierer (von Atum)
jwsw|Waage|Wb I S 57|Waage
jwSS|Teig, Brei|Wb I S 58|Teig, Brei
jwSS-sTA|z&auml;her Teig|Wb IV S 354|zaeher Teig
jwqt|[Pflanze]|Wb I S 58|[Pflanze]
jwtjj|der, der nichts hat|Meeks: AL 780202; Meeks: AL 790117|der, der nichts hat
jwtjjw|die nicht; die nicht mehr existieren = die Toten|Meeks: AL 770176|die nicht; die nicht mehr existieren = die Toten
jwtjjw|&lt;&lt;lies {Axtyw}&gt;&gt;|Meeks: AL 780209|<<lies {Axtyw}>>
jwtj-btA=f|schuldlos|Wb I S 484|schuldlos
jwtj-hbn-Snw|unbestechlich|Wb IV S 509|unbestechlich
jwtjw|Verwestes|Wb I S 48|Verwestes
jwtjw|[Gott]|Wb I S 48|[Gott]
jwtn|Erdboden|Wb I S 58|Erdboden
jwd|trennen, scheiden|Wb I S 58|trennen, scheiden
jwd|fangen (im Netz)|Wb I S 59|fangen (im Netz)
jwdt|Trennung|Wb I S 59|Trennung
jwdnb|[R&auml;ucherwerk]|Wb I S 59|[Raeucherwerk]
jwDmn|[Substantiv]|Meeks: AL 780240|[Substantiv]
jb|[Pflanze]|Meeks: AL 770220|[Pflanze]
jb|verbergen(?), Obdach gew&auml;hren(?)|Meeks: AL 780247|verbergen(?), Obdach gewaehren(?)
jb|Herz|Wb I S 59|Herz
jb|feindlich|Wb I S 60|feindlich
jb|[Bezeichnung des Apophis]|Wb I S 60|[Bezeichnung des Apophis]
jb|[Laubbaum]|Wb I S 60|[Laubbaum]
jb|Sistrum|Wb I S 61|Sistrum
jb|B&ouml;ckchen|Wb I S 61|Boeckchen
jb|(= {jbr}) Salbe|Wb I S 61|(= {jbr}) Salbe
jb|Durstiger|Wb I S 61|Durstiger
jb|vermuten|Wb I S 61|vermuten
jb|[silberner Toilettengegenstand]|Wb I S 61|[silberner Toilettengegenstand]
jb|[Teil des Vogelnetzes]|Wb I S 61|[Teil des Vogelnetzes]
jb|[Titel oder Amtsbezeichnung]|Wb I S 62|[Titel oder Amtsbezeichnung]
jbt|Weg|Wb I S 61|Weg
jbt|(= {jwbt}) Brotkrume|Wb I S 61|(= {jwbt}) Brotkrume
jbt|Durst|Wb I S 61|Durst
jbt|[Teil einer Pflanze]|Wb I S 62|[Teil einer Pflanze]
jb r=k|Pa&szlig; auf!|RdE 30 (1978) S 11|Pass auf!
jbwjj|Doppelherz [Amulett]|Meeks: AL 780242|Doppelherz [Amulett]
jb-m-srf|sorgsam|Wb IV S 196|sorgsam
jb-n-ra|[Beiname des Chons]|Wb I S 59|[Beiname des Chons]
jb-n-ra|[Beiname des Thot]|Wb I S 59|[Beiname des Thot]
jb-n-dnrg|[Teil einer Pflanze]|Wb I S 60|[Teil einer Pflanze]
jbA|Spielstein|Wb I S 62|Spielstein
jbA|tanzen|Wb I S 62|tanzen
jbA|Vergn&uuml;gung|Wb I S 62|Vergnuegung
jbA|T&auml;nzer|Wb I S 62|Taenzer
jbAt|[Salbe]|Wb I S 62|[Salbe]
jbAt|T&auml;nzerin|Wb I S 62|Taenzerin
jbAjjt|[Insekt(?)]|Meeks: AL 780254|[Insekt(?)]
jbAjjt|Ende (des Ruders(?))|Meeks: AL 780255|Ende (des Ruders(?))
jbAw|T&auml;nze|Wb I S 62|Taenze
jbAw|M&auml;hnenschaf|Wb I S 62|Maehnenschaf
jbAn|schlafen|Wb I S 62|schlafen
jbj|Henkel, Griff|Meeks: AL 780257|Henkel, Griff
jbjjt|[Dienerinnen(?) der Neith]|Meeks: AL 780258|[Dienerinnen(?) der Neith]
jbj|d&uuml;rsten|Wb I S 61|duersten
jbjb|Liebling|Wb I S 63|Liebling
jbw|Kalb(?)|Meeks: AL 780249|Kalb(?)
jbw|Seile|Meeks: AL 780260|Seile
jbw|[Substantiv]|Wb I S 61|[Substantiv]
jbw|[Pflanze]|Wb I S 62|[Pflanze]
jbw|Zufluchtst&auml;tte (bildlich)|Wb I S 62|Zufluchtstaette (bildlich)
jbw sxt|[Baum]|RdE 29 (1977) S 6|[Baum]
jbwj|[Seil am Schiff]|Wb I S 61|[Seil am Schiff]
jbb|[K&auml;fer]|Wb I S 63|[Kaefer]
jbbw|[Seil am Schiff]|Wb I S 63|[Seil am Schiff]
jbn|[Bezeichnung des Apophis]|Wb I S 63|[Bezeichnung des Apophis]
jbn|[Messer]|Wb I S 63|[Messer]
jbnw|[Mineral (Alaun)]|Wb I S 63|[Mineral (Alaun)]
jbr|[Salbe]|Wb I S 63|[Salbe]
jbr|Hengst|Wb I S 63|Hengst
jbr|Flu&szlig;|Wb I S 63|Fluss
jbhAhjtj|[Schlange]|Meeks: AL 780263|[Schlange]
jbhtj|[Stein]|Wb I S 64|[Stein]
jbH|Zahn|Wb I S 64|Zahn
jbH|lachen|Wb I S 64|lachen
jbH|feucht sein|Wb I S 64|feucht sein
jbHw|sprengen (Wasser)|Wb I S 64|sprengen (Wasser)
jbx|(Verbum)|Wb I S 64|(Verbum)
jbxj|[offizinell Verwendetes]|Wb I S 64|[offizinell Verwendetes]
jbX|Wasser|Wb I S 64|Wasser
jbs|[Teil des Schiffs]|Wb I S 64|[Teil des Schiffs]
jbs|Kopftuch|Wb I S 64|Kopftuch
jbsA|[&Ouml;l]|Wb I S 64|[Oel]
jbsA|[Pflanze]|Wb I S 64|[Pflanze]
jbsw|Katafalk(?)|Meeks: AL 780267|Katafalk(?)
jbsn|[Krankheit]|Wb I S 64|[Krankheit]
jbSt|[Brot]|Wb I S 64|[Brot]
jbkA|Sau|Meeks: AL 780268; Meeks: AL 790169|Sau
jbt|Luchsfell(?)|Meeks: AL 770221|Luchsfell(?)
jbTt|Vogelfalle|Wb I S 65|Vogelfalle
jbTtj|Vogelf&auml;nger|Wb I S 65|Vogelfaenger
jbTrsw|[Tierart]|Wb I S 65|[Tierart]
jbTt|[Substantiv]|Meeks: AL 780271|[Substantiv]
jbd|Monat|Wb I S 65|Monat
jbd|[Fest]|Wb I S 65|[Fest]
jbd|[Bezeichnung des Monatspriesters]|Wb I S 65|[Bezeichnung des Monatspriesters]
jbd|[Bezeichnung des Mondes]|Wb I S 65|[Bezeichnung des Mondes]
jp|z&auml;hlen|Wb I S 66|zaehlen
jp|Treppe|Wb I S 67|Treppe
jp|Schlag|Wb I S 67|Schlag
jp|[roter Farbstoff]|Wb I S 68|[roter Farbstoff]
jpt|Z&auml;hlung|Wb I S 66|Zaehlung
jpt|[Ma&szlig;]|Wb I S 67|[Mass]
jpt|[verschlie&szlig;barer Geb&auml;udeteil]|Wb I S 67|[verschliessbarer Gebaeudeteil]
jpt|Frauenhaus|Wb I S 67|Frauenhaus
jpt|[Fest]|Wb I S 68|[Fest]
jpt|Luxor|Wb I S 68|Luxor
jpt|[G&ouml;ttin]|Wb I S 68|[Goettin]
jpt|[Bezeichnung f&uuml;r Himmel]|Wb I S 68|[Bezeichnung fuer Himmel]
jpt|[offizinell Verwendetes]|Wb I S 68|[offizinell Verwendetes]
jp-jb|verst&auml;ndig|Wb I S 66|verstaendig
jp-jb|[Beiname des Thot]|Wb I S 66|[Beiname des Thot]
jp-Hmt=s|[Beiname der Toeris]|Wb I S 66|[Beiname der Toeris]
jp-Hmt=s|[Fest]|Wb I S 66|[Fest]
jpt-swt|Karnak|Wb I S 66|Karnak
jpA|[roter Farbstoff]|Wb I S 68|[roter Farbstoff]
jpA|B&uuml;ro o &auml;|Wb I S 68|Buero o ae
jpAt|B&uuml;ro o &auml;|Wb I S 68|Buero o ae
jpj|fliegen|Wb I S 69|fliegen
jpjj|[G&ouml;ttin]|Wb I S 68|[Goettin]
jpjp|[Ger&auml;t aus Alabaster]|Wb I S 69|[Geraet aus Alabaster]
jpjp|[Monat]|Wb I S 69|[Monat]
jpjpt|(= {jpjj}) [G&ouml;ttin]|Wb I S 69|(= {jpjj}) [Goettin]
jpw|Abgaben, Steuern|Wb I S 67|Abgaben, Steuern
jpw|Aktenst&uuml;cke|Wb I S 67|Aktenstuecke
jpw|[Getr&auml;nk]|Wb I S 67|[Getraenk]
jpw|Panopolis (Achmim)|Wb I S 69|Panopolis (Achmim)
jpw|diese (pron dem pl)|Wb I S 69|diese (pron dem pl)
jpwjj|[L&ouml;weng&ouml;ttin von Mankabad]|Meeks: AL 790179|[Loewengoettin von Mankabad]
jpwj|[Beiname des Min]|Wb I S 69|[Beiname des Min]
jpwr|[Getr&auml;nk]|Wb I S 69|[Getraenk]
jppt|Klo&szlig;|Wb I S 69|Kloss
jppt|Tonziegel, Erde f&uuml;r Ziegel|RdE 29 (1977) S 8; Meeks: AL 770243|Tonziegel, Erde fuer Ziegel
jpn|diese (pron dem masc pl)|Wb I S 69|diese (pron dem masc pl)
jpH|Schwein|Wb I S 69|Schwein
jps|[Teil des Schiffs]|Wb I S 69|[Teil des Schiffs]
jpSnn|[offizinell Verwendetes]|Wb I S 69|[offizinell Verwendetes]
jpt||O Tur 57476 2|
jpt|Becher|Wb I S 69|Becher
jpt|[Brot f&uuml;r Soldaten]|Wb I S 70|[Brot fuer Soldaten]
jpd|[Ma&szlig; f&uuml;r Kuchen]|Wb I S 70|[Mass fuer Kuchen]
jpdw|M&ouml;bel (allg)|Wb I S 70|Moebel (allg)
jpDs|[Dekan]|Wb I S 70|[Dekan]
jft|[K&ouml;rperteil des Rindes]|Wb I S 70|[Koerperteil des Rindes]
jfn|umwenden|Wb I S 70|umwenden
jft|[Frucht]|Wb I S 70|[Frucht]
jfd|vier Ecken, Seiten (eines Geb&auml;udes)|Wb I S 71|vier Ecken, Seiten (eines Gebaeudes)
jfd|vierseitiges Ackerst&uuml;ck|Wb I S 71|vierseitiges Ackerstueck
jfd|[Heiligtum in Edfu]|Wb I S 71|[Heiligtum in Edfu]
jfd|Viergewebe, vierseitiges Leinenst&uuml;ck|Wb I S 71|Viergewebe, vierseitiges Leinenstueck
jfd|viereckiger Steinblock|Wb I S 71|viereckiger Steinblock
jfd|davonrennen|Wb I S 72|davonrennen
jfdt|Vierzahl|Wb I S 71|Vierzahl
jmt|[Teil eines Gespanns]|Meeks: AL 780314|[Teil eines Gespanns]
jm|da, dort|Wb I S 72|da, dort
jm|Pupille|Wb I S 75|Pupille
jm|wehklagen|Wb I S 77|wehklagen
jm|Rippe|Wb I S 77|Rippe
jm|Gestalt|Wb I S 78|Gestalt
jm|Ton (Material)|Wb I S 78|Ton (Material)
jm|[Vogel]|Wb I S 78|[Vogel]
jm|[Teil am Wagen]|Wb I S 78|[Teil am Wagen]
jm|[Substantiv]|Wb I S 78|[Substantiv]
jm|Meer|Wb I S 78|Meer
jmt|Pulver (von Alabaster)|Wb I S 76|Pulver (von Alabaster)
jmt|Stadt Buto in Unter&auml;gypten|Wb I S 78|Stadt Buto in Unteraegypten
jmtj|der (Wein) von Buto|Wb I S 78|der (Wein) von Buto
jmtj|Z&ouml;gling|Wb I S 78|Zoegling
jmtt|[G&ouml;ttin von Buto]|Wb I S 78|[Goettin von Buto]
jmt pt|Atemnot(?)|Meeks: AL 780316|Atemnot(?)
jmtj-xntj|Gau von Pelusium|Wb III S 305|Gau von Pelusium
jmA|Dattelpalme?|Wb I S 79|Dattelpalme?
jmA|angenehm sein|Wb I S 79|angenehm sein
jmA|Liebensw&uuml;rdigkeit|Wb I S 80|Liebenswuerdigkeit
jmA|sch&ouml;ne Gestalt|Wb I S 80|schoene Gestalt
jmA|[Bezeichnung der Opferspeisen]|Wb I S 80|[Bezeichnung der Opferspeisen]
jmA|versch&ouml;nern ( mit Gold)|Wb I S 80|verschoenern ( mit Gold)
jmA|[Land in Nubien]|Wb I S 81|[Land in Nubien]
jmAt|weiblicher Steinbock|Wb I S 79|weiblicher Steinbock
jmAt|Weibchen (vom Wild)|Wb I S 79|Weibchen (vom Wild)
jmAt|Liebensw&uuml;rdigkeit|Wb I S 80|Liebenswuerdigkeit
jmAt|Sch&ouml;nheit|Wb I S 80|Schoenheit
jmAt|[Priesterin in Edfu]|Wb I S 80|[Priesterin in Edfu]
jmAt|(in alten Titeln)|Wb I S 81|(in alten Titeln)
jmA-jb|froh sein|Wb I S 79|froh sein
jmA-jb|beliebt|Wb I S 79|beliebt
jmAjt|Bl&auml;tter des {jmA}-Baumes|Wb I S 79|Blaetter des {jmA}-Baumes
jmAjt|[Beiname der Hathor]|Wb I S 80|[Beiname der Hathor]
jmAw|[Ort der Hathor]|In: Akten des 6 Int &Auml;g Kongr S 98f|[Ort der Hathor]
jmAw|Glanz der Sonne|Wb I S 80|Glanz der Sonne
jmAw|[rote Farbe]|Wb I S 80|[rote Farbe]
jmAw|Zelt|Wb I S 81|Zelt
jmAwtj|[Bezeichnung des Amon]|Wb I S 80|[Bezeichnung des Amon]
jmAx|[Bezeichnung des Weihrauchs]|Meeks: AL 780328|[Bezeichnung des Weihrauchs]
jmAx|[St&uuml;ck der Wirbels&auml;ule mit R&uuml;ckenmark]|Wb I S 81|[Stueck der Wirbelsaeule mit Rueckenmark]
jmAx|w&uuml;rdig sein, jemanden ehren|Wb I S 81|wuerdig sein, jemanden ehren
jmAx|W&uuml;rde|Wb I S 81|Wuerde
jmAx|W&uuml;rdiger|Wb I S 82|Wuerdiger
